,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
200,False,mp-560155,SiO2,Monoclinic,P2/c,13,54,0.027114811666667002,-3.245716532222223,False,1022.4708873192303,1.7564332820520412,5.8378,False,False,NM,0.0,,,,,,,,,,,,,,,
201,True,mp-560203,SiO2,Orthorhombic,Pbcn,60,36,0.029665876944445002,-3.243165466944444,False,439.0425829752664,2.726997283113123,5.7073,True,False,NM,0.0,,,,,,,0.581,,,,,,4.841406926666667,2.32505012,2.516356806666667
202,False,mp-560336,SiO2,Orthorhombic,Imma,74,96,0.018429731805555002,-3.254401612083333,False,1943.831656072185,1.6424850745409172,5.5922,False,False,NM,4.5900000000000004e-05,,,,,,,,,,,,,,,
203,True,mp-560527,SiO2,Orthorhombic,Cmcm,63,24,0.019028667222222,-3.253802676666667,False,444.9913436072388,1.793694713608121,5.3948,True,False,NM,0.0,,,,,,,,,,,,,3.369903816672321,1.415346236672322,1.9545575799999981
204,True,mp-560708,SiO2,Monoclinic,P2/m,10,84,0.015350694722222,-3.257480649166666,False,1577.8649602376963,1.770509671361885,5.819199999999999,True,False,NM,3.0000000000000004e-05,,,,,,,,,,,,,,,
205,True,mp-560754,SiO2,Tetragonal,P4/nbm,125,48,0.53463938951389,-2.738191954374999,False,669.7213451671146,2.383614099773126,1.3599999999999999,False,False,NM,1.9200000000000003e-05,,,,,,,,,,,,,,,
206,False,mp-560809,SiO2,Orthorhombic,Cmcm,63,72,0.016937440694444,-3.255893903194445,False,1292.1876618278939,1.8530867710822991,5.6711,True,False,NM,0.0,,,,,,,,,,,,,,,
207,False,mp-560826,SiO2,Orthorhombic,Cmcm,63,36,0.017836954166666003,-3.254994389722223,False,652.5514300897374,1.8347487657484312,5.4244,False,False,NM,0.0,,,,,,,,,,,,,,,
208,True,mp-560836,SiO2,Cubic,P23,195,36,0.228516128611111,-3.044315215277778,False,679.9226719388113,1.760888377983468,5.1243,False,False,NM,0.0004106,,,,,,,,,,,,0.01438,3.218294023333333,1.244995033333333,1.97329899
209,False,mp-560920,SiO2,Orthorhombic,Cmcm,63,96,0.01725330326389,-3.255578040625,False,1955.2932229150797,1.6328571311461961,5.7859,True,False,NM,0.0031301999999990004,,,,,,,,,,,,,,,
210,False,mp-560941,SiO2,Orthorhombic,Cmcm,63,96,0.016893901597223,-3.255937442291666,False,2048.119144742854,1.558851930423007,5.771100000000001,False,False,NM,0.0155304,,,,,,,,,,,,,,,
211,True,mp-560954,SiO2,Tetragonal,I4_122,98,24,0.17485644555555702,-3.097974898333333,False,383.6623385182876,2.080419526483269,4.5273,True,False,NM,0.0009678,,,,,,,,,,,,,,,
212,False,mp-560973,SiO2,Orthorhombic,Cmcm,63,54,0.034803650000000005,-3.2380276938888892,False,992.3357270046496,1.809772486815204,5.6019,True,False,NM,0.0,,,,,,,,,,,,,,,
213,False,mp-560998,SiO2,Orthorhombic,Cmmm,65,54,0.018304120370371,-3.254527223518518,False,1014.4972993623425,1.770238222955925,5.832599999999999,False,False,NM,0.0,,,,,,,,,,,,,,,
