avg_m_o_distance,std_m_o_distance,avg_m_o_m_angle,std_m_o_m_angle,min_m_o_m_angle,max_m_o_m_angle,coordination_mean,atomic_number_mean,electronegativity_mean,oxidation_state_mean,volume_per_atom,band_gap,is_metallic
2.4702991561153578,3.8459253727671276e-16,109.77437820620484,10.507125526042328,94.91505878571924,117.20403791644765,4.0,82.0,2.33,2.0,22.131680794417573,0.0,1
1.9929847746187872,0.0005732537696375331,119.97767966452746,42.76220678985314,83.13740308256145,179.93377318997085,4.0,24.0,1.66,2.0,11.75920211415344,0.0,1
1.9355055407416073,8.27259883742307e-05,119.99184152356362,42.70619914546242,83.88038054198019,179.99086119184568,4.0,29.0,1.9,2.0,10.729112185888175,0.0,1
2.0332915393911892,0.0,120.0,42.84727068482833,82.66290877060783,180.0,4.0,46.0,2.2,2.0,12.52106838034684,0.0,1
2.1644037304568617,3.1401849173675503e-16,120.0,43.16321561553708,80.27401555573857,180.0,4.0,47.0,1.93,2.0,15.28025659537245,0.0,1
2.734781004074268,0.1230276350591295,113.20222850808034,16.110110483121918,103.51574754810277,179.46217036661776,3.5,19.0,0.82,1.0,22.994761149226107,1.390399999999999,0
1.9769095439924416,0.03549416661330845,109.10140528541592,8.452269535857987,90.24504245370609,114.12814868023708,4.0,30.0,1.65,2.0,12.401111310453478,0.7376,0
2.0692030041326968,0.08563276288180371,90.54540555267276,1.7112135109858138e-13,90.54540555267253,90.54540555267302,4.75,23.0,1.63,0.0,13.26919644031893,0.0,1
1.6430171662833968,0.02779024988196499,109.27733278643097,6.49217632155601,94.76298267570222,112.44925949682104,4.0,4.0,1.57,2.0,7.129152957106981,7.0846,0
1.9717100533409984,0.2410693860976129,114.35943546380659,38.1557684451279,80.58052705457652,178.64682868321873,3.5,29.0,1.9,2.0,13.06433475429065,0.0,1
2.788164377379359,0.15160049863088415,112.92943056999468,15.112387736876455,102.50037417229443,174.50935221980527,3.5,19.0,0.82,1.0,24.352564322776868,1.169,0
2.358904703314644,0.0004239911306777699,107.26052330446751,35.45502664239462,89.0829917765707,178.16598355314167,5.0,20.0,1.0,2.0,23.676048137233142,1.7422,0
1.8121260000000001,0.0,180.0,0.0,180.0,180.0,2.0,26.0,1.83,2.0,49.11828825781939,1.886099999999999,0
